Redwood City, CA: Data Inventory 
Station ID: 9414523 Page Help 

Meteorological Observations

Station Date      Time Wind Sp Wind Dr Wind Gt Air Tmp H2O Tmp Baro Pr
DCP#:                        1       1       1       1       1       1
Units:                 Mtr/Sec Degrees Mtr/Sec  Degr C  Degr C   mbars
Data%:  StnDtm     GMT  97.540  97.540  97.540  97.366  97.352  97.392  
Maximum:                11.500 359.000  14.200  25.700  20.500 1021.20  
Minimum:                 0.000   0.000   0.000   9.900  15.900 1010.20  
------- -------- ----- ------- ------- ------- ------- ------- ------- 
9414523 20050502 09:18   0.000 206.000   0.000  12.300  16.900 1019.50
9414523 20050502 09:24   0.000 205.000   0.000  12.200  16.900 1019.50
9414523 20050502 09:30   0.000 197.000   0.000  12.000  16.800 1019.60
9414523 20050502 09:36   0.000 224.000   0.000  12.100  16.800 1019.60
9414523 20050502 09:42   0.000 235.000   0.000  12.400  16.800 1019.50
9414523 20050502 09:48   0.000 235.000   0.000  12.300  16.800 1019.50
9414523 20050502 09:54   0.000 225.000   0.000  12.300  16.700 1019.40
9414523 20050502 10:00   0.000 235.000   0.000  12.400  16.700 1019.40
9414523 20050502 10:06   0.000 240.000   0.000  12.600  16.700 1019.30
9414523 20050502 10:12   0.000 257.000   0.400  12.800  16.700 1019.40
9414523 20050502 10:18   0.000 232.000   0.800  12.400  16.600 1019.40
9414523 20050502 10:24   0.000 224.000   1.700  12.100  16.600 1019.40
9414523 20050502 10:30   0.100 234.000   1.600  12.300  16.600 1019.30
9414523 20050502 10:36   0.000 237.000   0.000  12.400  16.500 1019.40
9414523 20050502 10:42   0.000 222.000   0.000  12.200  16.500 1019.40
9414523 20050502 10:48   0.000 225.000   0.000  12.200  16.500 1019.50
9414523 20050502 10:54   0.000 226.000   0.000  12.100  16.500 1019.60
9414523 20050502 11:00   0.000 216.000   0.000  12.100  16.500 1019.60
9414523 20050502 11:06   0.000 200.000   0.000  12.100  16.500 1019.70
